Actor     Director  Movie     Oscar     Person  

Actor
actor_id    movie_id  
----------  ----------
0000138     0120338   
0000701     0120338   
0000708     0120338   
0000870     0120338   
0000200     0120338   
0000434     0076759   
0000148     0076759   
0000402     0076759   
0001088     0076759   
0000027     0076759   
0000196     0298148   
0000552     0298148   
0000139     0298148   
0000267     0298148   
0000104     0298148   
0001794     0083866   
0908914     0083866   
0534085     0083866   
0000106     0083866   
0001075     0083866   
0000553     0120915   
0000191     0120915   
0000204     0120915   
0005157     0120915   
0000278     0120915   
0001497     0145487   
0000353     0145487   
0000379     0145487   
0290556     0145487   
0731772     0145487   
0000191     0121766   
0000204     0121766   
0159789     0121766   
0001519     0121766   
0000168     0121766   
0032370     0167260   
0040012     0167260   
0000276     0167260   
0040058     0167260   
0045324     0167260   
0001497     0316654   
0000379     0316654   
0290556     0316654   
0000547     0316654   
0365281     0316654   
0001029     0335345   
0000899     0335345   
0314358     0335345   
0605164     0335345   
0748207     0335345   
0000554     0107290   
0000368     0107290   
0000156     0107290   
0000277     0107290   
0669629     0107290   
0000704     0167261   
0005212     0167261   
0000239     0167261   
0001557     0167261   
0000276     0167261   
0000983     0266543   
0001122     0266543   
1071252     0266543   
0000353     0266543   
0004951     0266543   
0000158     0109830   
0000705     0109830   
0000641     0109830   
0932112     0109830   
0000398     0109830   
0001795     0110357   
0000111     0110357   
0915868     0110357   
0930990     0110357   
0000460     0110357   
0001321     0241527   
0001749     0241527   
0001059     0241527   
1196732     0241527   
0705356     0241527   
0032370     0120737   
0000276     0120737   
1019674     0120737   
0000293     0120737   
0000949     0120737   
0000191     0121765   
0000204     0121765   
0159789     0121765   
0000489     0121765   
0000168     0121765   
0000434     0086190   
0000148     0086190   
0000402     0086190   
0001850     0086190   
0000355     0086190   
0000597     0116629   
0001521     0116629   
0000156     0116629   
0002139     0116629   
0171513     0116629   
0000136     0325980   
0001691     0325980   
0089217     0325980   
0461136     0325980   
0202603     0325980   
0000246     0167404   
0005286     0167404   
0001057     0167404   
0931404     0167404   
0059215     0167404   
0000434     0080684   
0000148     0080684   
0000402     0080684   
0001850     0080684   
0000355     0080684   
0843059     0330373   
0001758     0330373   
0855039     0330373   
0705356     0330373   
0914612     0330373   
0000346     0099785   
0000582     0099785   
0827663     0099785   
0001334     0099785   
0089348     0099785   
1670137     0363771   
1342727     0363771   
0608440     0363771   
0691600     0363771   
0842770     0363771   
0030991     0234215   
0031655     0234215   
1060253     0234215   
1369391     0234215   
0048127     0234215   
0000134     0290002   
0001774     0290002   
0000163     0290002   
0000659     0290002   
0001100     0290002   
0000196     0126029   
0000552     0126029   
0000139     0126029   
0001475     0126029   
0001993     0126029   
0705356     0295297   
0914612     0295297   
0342488     0295297   
0341743     0295297   
0789716     0295297   
0005266     0317705   
0000456     0317705   
0000168     0317705   
0005134     0317705   
0521861     0317705   
0000120     0170016   
0597410     0170016   
0001787     0170016   
0004724     0170016   
0410347     0170016   
0001702     0073195   
0001727     0073195   
0000377     0073195   
0308882     0073195   
0358069     0073195   
0000422     0198781   
0000345     0198781   
0316701     0198781   
0000114     0198781   
0000336     0198781   
0000474     0096895   
0000197     0096895   
0000107     0096895   
0943237     0096895   
0385757     0096895   
0000169     0119654   
0000226     0119654   
0000400     0119654   
0000352     0119654   
0001800     0119654   
0705356     0304141   
0341743     0304141   
0274913     0304141   
0789716     0304141   
0577982     0304141   
0000158     0120363   
0000741     0120363   
0000349     0120363   
0001288     0120363   
0725543     0120363   
0000120     0315327   
0000151     0315327   
0000098     0315327   
0001311     0315327   
0004738     0315327   
0000148     0082971   
0000261     0082971   
0293550     0082971   
0479951     0082971   
0722636     0082971   
0000166     0117998   
0000200     0117998   
0000144     0117998   
0000415     0117998   
0000450     0117998   
0889522     0259446   
0179173     0259446   
0443577     0259446   
0176073     0259446   
0137140     0259446   
0000195     0087332   
0000101     0087332   
0000244     0087332   
0000601     0087332   
0001548     0087332   
0000552     0086960   
0001662     0086960   
0039226     0086960   
0002060     0086960   
0001074     0086960   
0000129     0407304   
0266824     0407304   
0154226     0407304   
0001584     0407304   
0000209     0407304   
0584052     0162222   
0925096     0162222   
0162904     0162222   
0111948     0162222   
1329048     0162222   
0000156     0119567   
0000194     0119567   
0000592     0119567   
0000277     0119567   
0000681     0119567   
0000154     0286106   
0001618     0286106   
0191412     0286106   
1113550     0286106   
0427728     0286106   
0000329     0266915   
0000676     0266915   
0518821     0266915   
0955471     0266915   
0761052     0266915   
0000245     0107614   
0000398     0107614   
0000112     0107614   
0001213     0107614   
0391072     0107614   
0000664     0099653   
0000193     0099653   
0000155     0099653   
0001282     0099653   
0493026     0099653   
0918334     0103639   
0000245     0103639   
0488306     0103639   
0293455     0103639   
0919798     0103639   
0000158     0120815   
0122653     0120815   
0001744     0120815   
0000354     0120815   
0001111     0120815   
0915208     0360717   
0085312     0360717   
0004778     0360717   
0470981     0360717   
0004988     0360717   
0000129     0120755   
0779084     0120755   
0628601     0120755   
0000609     0120755   
0746896     0120755   
0001772     0290334   
0413168     0290334   
0005212     0290334   
0000932     0290334   
0000463     0290334   
0000196     0295178   
0461498     0295178   
0001293     0295178   
0001868     0295178   
0001822     0295178   
0000150     0088763   
0000502     0088763   
0000670     0088763   
0000417     0088763   
0001855     0088763   
0005562     0396269   
0000681     0396269   
0000686     0396269   
1046097     0396269   
0279545     0396269   
0000136     0367594   
0383603     0367594   
0446303     0367594   
0000307     0367594   
0852965     0367594   
0000196     0145660   
0001287     0145660   
0001868     0145660   
0001822     0145660   
0000507     0145660   
0000288     0372784   
0000323     0372784   
0000553     0372784   
0005017     0372784   
0000198     0372784   
0000216     0103064   
0000157     0103064   
0000411     0103064   
0001598     0103064   
0608012     0103064   
0000995     0070047   
0001884     0070047   
0588553     0070047   
0002011     0070047   
0935345     0070047   
0000409     0209163   
0001838     0209163   
0001314     0209163   
0903677     0209163   
0004912     0209163   
0000246     0120591   
0000671     0120591   
0000255     0120591   
0000239     0120591   
0001599     0120591   
0593775     0031381   
0641966     0031381   
0000046     0031381   
0450810     0031381   
0751946     0031381   
0000255     0213149   
0001326     0213149   
0000295     0213149   
0000421     0213149   
0000685     0213149   
0000148     0097576   
0000125     0097576   
0001186     0097576   
0233145     0097576   
0722636     0097576   
0001774     0351283   
0001674     0351283   
0001710     0351283   
0000586     0351283   
0056187     0351283   
0000158     0114709   
0000741     0114709   
0725543     0114709   
0001815     0114709   
0001728     0114709   
0000169     0120912   
0000226     0120912   
0206257     0120912   
0001223     0120912   
0424216     0120912   
0000128     0172495   
0001618     0172495   
0001567     0172495   
0001657     0172495   
0001321     0172495   
0000598     0319262   
0350453     0319262   
0002536     0319262   
0005231     0319262   
0761587     0319262   
0000093     0356910   
0001401     0356910   
0000681     0356910   
0111013     0356910   
0913488     0356910   
0041165     0029583   
0118081     0029583   
0143314     0029583   
0172287     0029583   
0173418     0029583   
0000126     0099348   
0001521     0099348   
0001295     0099348   
0002110     0099348   
0922671     0099348   
0000174     0112462   
0000169     0112462   
0000120     0112462   
0000173     0112462   
0000563     0112462   
0000148     0106977   
0000169     0106977   
0000688     0106977   
0000194     0106977   
0001592     0106977   
0000123     0240772   
0083781     0240772   
0634342     0240772   
0282665     0240772   
1131138     0240772   
0000154     0207201   
0000166     0207201   
0000673     0207201   
0000257     0207201   
0424534     0207201   
0000123     0177971   
0000242     0177971   
0000178     0177971   
0000261     0177971   
0001209     0177971   
0000120     0119528   
0005491     0119528   
0178176     0119528   
0000144     0119528   
0359774     0119528   
0000237     0077631   
0000556     0077631   
0000330     0077631   
0001063     0077631   
0669046     0077631   
0000554     0163025   
0000513     0163025   
0000495     0163025   
0005273     0163025   
0605080     0163025   
0000129     0117060   
0000685     0117060   
0000322     0117060   
0001089     0117060   
0000606     0117060   
0000242     0133152   
0000619     0133152   
0000307     0133152   
0003817     0133152   
0316079     0133152   
0000148     0087469   
0001009     0087469   
0702841     0087469   
0700869     0087469   
0786022     0087469   
0000152     0100405   
0000210     0100405   
0000897     0100405   
0004517     0100405   
0000624     0100405   
0000226     0386588   
0578949     0386588   
0416673     0386588   
0005520     0386588   
1024264     0386588   
0000163     0084805   
0001448     0084805   
0000414     0084805   
0001056     0084805   
0001164     0084805   
0000129     0092099   
0000534     0092099   
0000174     0092099   
0000381     0092099   
0000643     0092099   
0000139     0129387   
0000369     0129387   
0001774     0129387   
0262968     0129387   
0254402     0129387   
0005380     0268380   
0000491     0268380   
0001459     0268380   
0899681     0268380   
0085312     0268380   
0000354     0372183   
0004376     0372183   
0004051     0372183   
0005466     0372183   
0881631     0372183   
0001357     0090555   
0468957     0090555   
0576851     0090555   
0347858     0090555   
0802032     0090555   
0000158     0338348   
0366667     0338348   
0214430     0338348   
0310850     0338348   
0778642     0338348   
0000346     0104431   
0000582     0104431   
0827663     0104431   
0001573     0104431   
0001334     0104431   
0002071     0319343   
